Model,Dataset,Samples,SuccessExec,Pass@1_TRUE,SuccessExecRate,Pass@1_Rate
deepseek-ai/deepseek-coder-33b-instruct,./datasets/livecodebench/livecodebench_public.jsonl,1000,204,203,0.204,0.203
deepseek-ai/deepseek-coder-33b-instruct,./mutations/livecodebench_US_with_tests.jsonl,1000,195,194,0.195,0.194
deepseek-ai/deepseek-coder-33b-instruct,./mutations/livecodebench_LV_with_tests.jsonl,1000,200,199,0.2,0.199
deepseek-ai/deepseek-coder-33b-instruct,./mutations/livecodebench_SF_with_tests.jsonl,1000,189,188,0.189,0.188
